iter	Passed	Remaining
0	111	111668
1	169	84530
2	228	76004
3	283	70574
4	337	67129
5	389	64606
6	443	62897
7	496	61517
8	551	60727
9	605	59970
10	658	59224
11	711	58607
12	765	58147
13	821	57831
14	874	57432
15	928	57098
16	982	56793
17	1036	56564
18	1090	56293
19	1146	56176
20	1202	56042
21	1258	55935
22	1314	55842
23	1371	55758
24	1426	55648
25	1482	55530
26	1537	55398
27	1591	55254
28	1646	55145
29	1701	55008
30	1755	54874
31	1812	54817
32	1867	54710
33	1922	54615
34	1977	54529
35	2032	54419
36	2088	54369
37	2144	54282
38	2199	54196
39	2253	54084
40	2309	54020
41	2365	53946
42	2418	53828
43	2474	53769
44	2531	53723
45	2587	53665
46	2642	53589
47	2698	53521
48	2753	53432
49	2809	53379
50	2863	53290
51	2917	53186
52	2971	53088
53	3025	53009
54	3080	52921
55	3134	52843
56	3190	52777
57	3245	52709
58	3300	52632
59	3353	52543
60	3408	52469
61	3463	52401
62	3519	52347
63	3573	52265
64	3629	52204
65	3683	52130
66	3738	52055
67	3792	51977
68	3846	51904
69	3902	51849
70	3956	51773
71	4011	51701
72	4067	51651
73	4121	51576
74	4176	51509
75	4231	51450
76	4287	51395
77	4340	51308
78	4395	51240
79	4450	51178
80	4505	51120
81	4563	51092
82	4618	51021
83	4679	51024
84	4734	50968
85	4787	50881
86	4842	50822
87	4897	50757
88	4953	50703
89	5008	50639
90	5062	50572
91	5118	50515
92	5171	50435
93	5225	50362
94	5279	50291
95	5334	50231
96	5388	50164
97	5443	50098
98	5498	50038
99	5553	49980
100	5608	49922
101	5663	49863
102	5719	49807
103	5774	49746
104	5829	49686
105	5883	49622
106	5937	49557
107	5991	49487
108	6047	49430
109	6101	49368
110	6155	49295
111	6207	49217
112	6263	49164
113	6318	49107
114	6372	49039
115	6426	48971
116	6479	48901
117	6533	48832
118	6586	48761
119	6639	48686
120	6692	48618
121	6747	48557
122	6799	48482
123	6853	48418
124	6909	48364
125	6964	48307
126	7017	48236
127	7070	48166
128	7123	48100
129	7178	48043
130	7233	47987
131	7287	47919
132	7341	47855
133	7396	47800
134	7449	47730
135	7503	47666
136	7558	47610
137	7613	47555
138	7667	47493
139	7721	47434
140	7776	47377
141	7830	47315
142	7884	47254
143	7938	47187
144	7991	47124
145	8046	47064
146	8099	46997
147	8153	46935
148	8208	46881
149	8262	46818
150	8317	46763
151	8369	46694
152	8423	46630
153	8477	46568
154	8532	46514
155	8587	46461
156	8642	46402
157	8695	46338
158	8748	46275
159	8802	46214
160	8858	46161
161	8911	46097
162	8964	46034
163	9016	45962
164	9070	45899
165	9125	45846
166	9179	45785
167	9232	45724
168	9287	45666
169	9341	45609
170	9397	45557
171	9451	45497
172	9505	45438
173	9558	45377
174	9613	45319
175	9667	45262
176	9724	45214
177	9779	45162
178	9835	45112
179	9900	45101
180	9952	45034
181	10007	44977
182	10065	44935
183	10119	44877
184	10174	44822
185	10229	44767
186	10285	44718
187	10340	44661
188	10393	44598
189	10445	44532
190	10500	44476
191	10554	44418
192	10610	44366
193	10666	44316
194	10724	44271
195	10779	44219
196	10834	44162
197	10888	44104
198	10943	44049
199	11000	44001
200	11054	43944
201	11110	43891
202	11166	43839
203	11219	43777
204	11275	43725
205	11330	43673
206	11384	43612
207	11438	43555
208	11495	43505
209	11550	43450
210	11605	43396
211	11659	43338
212	11716	43290
213	11771	43235
214	11826	43179
215	11881	43123
216	11937	43072
217	11994	43025
218	12050	42973
219	12104	42917
220	12161	42866
221	12217	42814
222	12273	42763
223	12328	42709
224	12385	42660
225	12441	42610
226	12496	42555
227	12552	42501
228	12605	42438
229	12660	42383
230	12713	42324
231	12768	42268
232	12820	42202
233	12875	42149
234	12932	42098
235	12985	42037
236	13040	41981
237	13095	41928
238	13148	41867
239	13203	41811
240	13259	41758
241	13314	41705
242	13370	41652
243	13425	41598
244	13480	41543
245	13535	41487
246	13589	41430
247	13643	41369
248	13696	41308
249	13748	41246
250	13804	41193
251	13861	41144
252	13913	41081
253	13966	41020
254	14022	40966
255	14076	40910
256	14128	40847
257	14184	40793
258	14239	40739
259	14292	40679
260	14347	40624
261	14405	40576
262	14462	40527
263	14514	40465
264	14567	40403
265	14621	40346
266	14674	40285
267	14732	40238
268	14788	40188
269	14844	40135
270	14900	40082
271	14954	40026
272	15007	39964
273	15061	39907
274	15118	39857
275	15173	39801
276	15227	39744
277	15279	39683
278	15335	39629
279	15390	39576
280	15445	39520
281	15501	39467
282	15555	39411
283	15611	39357
284	15666	39304
285	15720	39245
286	15775	39190
287	15830	39137
288	15883	39075
289	15937	39020
290	15990	38959
291	16046	38907
292	16101	38852
293	16152	38788
294	16204	38726
295	16258	38669
296	16313	38613
297	16368	38559
298	16424	38506
299	16480	38454
300	16537	38403
301	16590	38344
302	16644	38287
303	16697	38228
304	16749	38166
305	16800	38103
306	16854	38046
307	16908	37989
308	16964	37936
309	17019	37882
310	17075	37828
311	17128	37771
312	17185	37719
313	17238	37661
314	17293	37605
315	17349	37553
316	17402	37494
317	17455	37436
318	17511	37383
319	17566	37328
320	17622	37275
321	17678	37223
322	17734	37170
323	17787	37112
324	17843	37059
325	17897	37002
326	17952	36947
327	18008	36896
328	18063	36840
329	18118	36786
330	18174	36733
331	18230	36681
332	18283	36622
333	18339	36568
334	18396	36518
335	18451	36463
336	18505	36407
337	18559	36351
338	18612	36292
339	18668	36238
340	18722	36181
341	18777	36127
342	18832	36073
343	18887	36017
344	18942	35964
345	19007	35926
346	19060	35869
347	19114	35812
