iter	Passed	Remaining
0	55	16574
1	111	16619
2	167	16540
3	223	16545
4	279	16474
5	336	16464
6	392	16419
7	448	16380
8	506	16367
9	563	16343
10	620	16313
11	679	16296
12	737	16273
13	794	16226
14	851	16171
15	908	16117
16	965	16067
17	1020	15981
18	1077	15935
19	1133	15862
20	1188	15796
21	1245	15736
22	1300	15666
23	1357	15611
24	1412	15536
25	1469	15485
26	1523	15405
27	1577	15328
28	1632	15253
29	1686	15181
30	1740	15105
31	1795	15033
32	1848	14957
33	1902	14887
34	1955	14806
35	2010	14742
36	2065	14678
37	2118	14605
38	2173	14548
39	2226	14471
40	2279	14402
41	2332	14329
42	2386	14261
43	2440	14202
44	2493	14128
45	2548	14069
46	2601	14003
47	2655	13942
48	2709	13881
49	2764	13821
50	2817	13755
51	2873	13704
52	2927	13643
53	2982	13585
54	3036	13526
55	3091	13471
56	3145	13408
57	3200	13353
58	3254	13295
59	3310	13240
60	3366	13188
61	3420	13129
62	3475	13075
63	3529	13016
64	3582	12953
65	3637	12895
66	3690	12832
67	3745	12777
68	3797	12713
69	3852	12659
70	3906	12601
71	3960	12541
72	4016	12490
73	4069	12427
74	4122	12367
75	4177	12311
76	4233	12259
77	4289	12208
78	4343	12151
79	4398	12097
80	4452	12037
81	4507	11983
82	4561	11925
83	4618	11876
84	4674	11823
85	4732	11775
86	4786	11717
87	4841	11663
88	4897	11610
89	4953	11558
90	5007	11501
91	5062	11445
92	5118	11391
93	5176	11344
94	5231	11288
95	5289	11239
96	5346	11189
97	5399	11129
98	5453	11072
99	5510	11021
100	5565	10966
101	5619	10909
102	5677	10858
103	5730	10799
104	5784	10742
105	5839	10687
106	5897	10637
107	5950	10579
108	6006	10524
109	6059	10466
110	6113	10408
111	6166	10350
112	6222	10298
113	6278	10243
114	6334	10190
115	6389	10135
116	6442	10077
117	6497	10021
118	6553	9967
119	6609	9914
120	6662	9856
121	6721	9806
122	6774	9748
123	6831	9696
124	6886	9641
125	6939	9582
126	6994	9528
127	7048	9470
128	7102	9414
129	7157	9360
130	7214	9306
131	7270	9253
132	7324	9196
133	7378	9139
134	7432	9083
135	7486	9028
136	7541	8973
137	7595	8916
138	7649	8860
139	7705	8806
140	7759	8749
141	7814	8694
142	7869	8639
143	7923	8583
144	7978	8528
145	8032	8473
146	8086	8416
147	8141	8361
148	8196	8306
149	8253	8253
150	8310	8200
151	8363	8143
152	8417	8087
153	8472	8032
154	8527	7977
155	8581	7921
156	8634	7864
157	8689	7809
158	8744	7754
159	8802	7701
160	8858	7648
161	8914	7593
162	8967	7537
163	9022	7481
164	9079	7428
165	9137	7375
166	9189	7318
167	9243	7262
168	9297	7206
169	9351	7150
170	9407	7097
171	9461	7041
172	9514	6984
173	9570	6930
174	9625	6875
175	9682	6821
176	9738	6767
177	9794	6713
178	9848	6657
179	9903	6602
180	9957	6546
181	10013	6491
182	10065	6435
183	10122	6381
184	10175	6325
185	10233	6272
186	10288	6217
187	10345	6163
188	10400	6108
189	10456	6054
190	10513	5999
191	10567	5944
192	10622	5889
193	10680	5835
194	10736	5780
195	10792	5726
196	10846	5670
197	10900	5615
198	10954	5559
199	11009	5504
200	11064	5449
201	11119	5394
202	11172	5338
203	11228	5283
204	11281	5227
205	11334	5172
206	11391	5117
207	11446	5062
208	11500	5007
209	11554	4951
210	11610	4897
211	11667	4843
212	11724	4788
213	11778	4733
214	11831	4677
215	11886	4622
216	11941	4567
217	11996	4512
218	12050	4456
219	12102	4401
220	12159	4346
221	12213	4291
222	12265	4235
223	12321	4180
224	12377	4125
225	12431	4070
226	12485	4015
227	12542	3960
228	12596	3905
229	12655	3851
230	12711	3796
231	12765	3741
232	12821	3686
233	12874	3631
234	12931	3576
235	12986	3521
236	13040	3466
237	13095	3411
238	13151	3356
239	13204	3301
240	13262	3246
241	13317	3191
242	13371	3136
243	13426	3081
244	13482	3026
245	13536	2971
246	13591	2916
247	13647	2861
248	13700	2806
249	13756	2751
250	13813	2696
251	13867	2641
252	13919	2585
253	13973	2530
254	14027	2475
255	14082	2420
256	14138	2365
257	14193	2310
258	14247	2255
259	14304	2200
260	14360	2145
261	14416	2090
262	14472	2036
263	14528	1981
264	14583	1926
265	14637	1870
266	14691	1815
267	14746	1760
268	14798	1705
269	14852	1650
270	14908	1595
271	14964	1540
272	15018	1485
273	15076	1430
274	15130	1375
275	15184	1320
276	15241	1265
277	15296	1210
278	15352	1155
279	15406	1100
280	15458	1045
281	15513	990
282	15568	935
283	15620	880
284	15673	824
285	15728	769
286	15783	714
287	15837	659
288	15894	604
289	15951	550
290	16004	494
291	16058	439
292	16112	384
293	16169	329
294	16222	274
295	16277	219
296	16333	164
297	16389	109
298	16442	54
299	16497	0
